Topic,Words,Frequency,Timestamp
-1,"20, 21 05, 21 05 2024, 22 05, 21",536,2024-05-19 23:38:24.000000000
0,"hamas, israelisch, israel, gazastreifen, haftbefehl",82,2024-05-19 23:38:24.000000000
1,"russisch, ukrainisch, ukraine, russland, putin",59,2024-05-19 23:38:24.000000000
2,"saarland, rheinland pfalz, pfalz, rheinland, unwetter",25,2024-05-19 23:38:24.000000000
3,"trump, donald trump, donald, us präsident, richter",20,2024-05-19 23:38:24.000000000
4,"jähriger, laut polizei, messer, flüchten, krankenhaus",28,2024-05-19 23:38:24.000000000
5,"rechenzentrum, co₂, leistung, heizen, google",6,2024-05-19 23:38:24.000000000
6,"fahrzeug, auto, fußgänger, volkswagen, tesla",15,2024-05-19 23:38:24.000000000
7,"inflation, anleger, analyst, aktie, zentralbank",15,2024-05-19 23:38:24.000000000
8,"geste, renommiert, slogan, fotograf, männlich",3,2024-05-19 23:38:24.000000000
9,"erkrankung, patient, rückstand, expertin, gesund",17,2024-05-19 23:38:24.000000000
10,"nationalität, krah, bundesvorstand, maximilian krah, thüringen",10,2024-05-19 23:38:24.000000000
11,"iran, iranisch, islamisch, absturz, hubschrauber",47,2024-05-19 23:38:24.000000000
12,"film, regisseur, theater, publikum, swr",13,2024-05-19 23:38:24.000000000
13,"tier, wald, biologisch, hund, werkzeug",23,2024-05-19 23:38:24.000000000
14,"apple, browser, preisvergleich, support, watch",12,2024-05-19 23:38:24.000000000
15,"chinesisch, import, china, xi, verboten",17,2024-05-19 23:38:24.000000000
16,"leyen, liberale, sozialdemokrat, eu parlament, ursula leyen",10,2024-05-19 23:38:24.000000000
17,"abschied, league, bundesliga, fc, saison",15,2024-05-19 23:38:24.000000000
18,"bystron, feier, bundesvorstand, krah, verzichten",11,2024-05-19 23:38:24.000000000
19,"newsletter, bezirk, unser newsletter, angebot tagesspiegel, spandau",10,2024-05-19 23:38:24.000000000
20,"rom, open, alexander, turnier, sc",3,2024-05-19 23:38:24.000000000
21,"geflüchtet, arbeitsmarkt, befragt, ost west, beruf",9,2024-05-19 23:38:24.000000000
22,"taiwan, peking, china, provozieren, chinesisch",11,2024-05-19 23:38:24.000000000
23,"basketball, kader, liga, bayer, spieler",5,2024-05-19 23:38:24.000000000
24,"mode, flüssig, louis, übereinstimmend, innerer",1,2024-05-19 23:38:24.000000000
25,"kassel, tatort, landgericht, angeklagter, mord",7,2024-05-19 23:38:24.000000000
26,"republik, spanien, madrid, kongress, prozent stimme",6,2024-05-19 23:38:24.000000000
27,"start up, milliarde dollar, up, dollar, million dollar",13,2024-05-19 23:38:24.000000000
28,"passagier, flugzeug, singapur, flug, maschine",13,2024-05-19 23:38:24.000000000
29,"konservative, konservativ, premierminister, großbritannien, königreich",8,2024-05-19 23:38:24.000000000
30,"buschmann, afghanistan, ausstattung, ausländisch, reisend",2,2024-05-19 23:38:24.000000000
31,"elite, intel, lake, amd, prozessor",9,2024-05-19 23:38:24.000000000
32,"lohn, show, erhöhung, beschäftigter, einkommen",5,2024-05-19 23:38:24.000000000
33,"ursula, newsletter, bad, angebot tagesspiegel, paar",3,2024-05-19 23:38:24.000000000
34,"störung, netz, internet, tv, digital",8,2024-05-19 23:38:24.000000000
35,"song, sendung, interpretieren, superstar, sänger",1,2024-05-19 23:38:24.000000000
36,"real, heim em, fc, bundestrainer, em",10,2024-05-19 23:38:24.000000000
37,"real madrid, madrid, real, fußball em, abschied",5,2024-05-19 23:38:24.000000000
38,"südafrika, parlamentswahl, ex präsident, gefängnis, zwölf monat",4,2024-05-19 23:38:24.000000000
39,"tourist, sturz, jung mann, vermutlich, um leben",3,2024-05-19 23:38:24.000000000
40,"pnn, kiez, kommunalwahl, potsdam, stadtteil",4,2024-05-19 23:38:24.000000000
41,"palästina, anerkennung, irland, anerkennen, norwegen",14,2024-05-19 23:38:24.000000000
42,"mode, museum, kundin, palast, roman",7,2024-05-19 23:38:24.000000000
43,"kirche, distanzieren, schwester, aufsehen, vielfach",3,2024-05-19 23:38:24.000000000
44,"treppe, pass, dach, meter hoch, pnn",5,2024-05-19 23:38:24.000000000
45,"brite, sicherheitskraft, amerikaner, versucht, republik",4,2024-05-19 23:38:24.000000000
46,"microsoft, windows, pcs, entwickler, anwendung",9,2024-05-19 23:38:24.000000000
47,"maier, sächsisch, verfassungsschutz, cannes, film",4,2024-05-19 23:38:24.000000000
48,"führungskraft, rückgängig, manager, düsseldorf, generation",7,2024-05-19 23:38:24.000000000
49,"ceo, rekordwert, boeing, bezahlung, konzernchef",1,2024-05-19 23:38:24.000000000
50,"milliarde euro, milliarde, besetzen, entfallen, einnahme",4,2024-05-19 23:38:24.000000000
52,"digitalisierung, bund, digital, elektronisch, bund land",4,2024-05-19 23:38:24.000000000
53,"verteilung, lastwagen, provisorisch, transport, lieferung",3,2024-05-19 23:38:24.000000000
55,"kiel, fc, trainer, premier, bayern münchen",6,2024-05-19 23:38:24.000000000
56,"cloud, praxis, container, workshop, support",3,2024-05-19 23:38:24.000000000
57,"rente, reform, heil, kabinett, lindner",2,2024-05-19 23:38:24.000000000
59,"potsdamer, wahlkreis, liberale, pnn, potsdam",5,2024-05-19 23:38:24.000000000
60,"landesverband, bündnis sahra wagenknecht, bündnis sahra, bsw, sahra wagenknecht",3,2024-05-19 23:38:24.000000000
61,"siemens, mercedes, extremismus, gleichwohl, stimmabgabe",3,2024-05-19 23:38:24.000000000
62,"zustimmmung extern, laden einverstanden, übermitteln datenschutzerklärung, laden einverstanden extern, zustimmmung",2,2024-05-19 23:38:24.000000000
63,"kim, propaganda, un, staatsmedium, professorin",1,2024-05-19 23:38:24.000000000
64,"planet, effekt, innere, ungewöhnlich, annehmen",1,2024-05-19 23:38:24.000000000
65,"rennen, red, weltmeister, formel, runde",4,2024-05-19 23:38:24.000000000
66,"stadion, senat, zwang, millionen, weichen",2,2024-05-19 23:38:24.000000000
67,"ausschuss, österreichisch, befragung, milliardär, gründer",6,2024-05-19 23:38:24.000000000
68,"klimawandel, demonstrant, altersgruppe, befragter, begriff",2,2024-05-19 23:38:24.000000000
69,"sexuell, klage, sängerin, freundin, model",5,2024-05-19 23:38:24.000000000
70,"boeing, flug, christoph, termin, rakete",2,2024-05-19 23:38:24.000000000
71,"bahn, charlottenburg, messer, linie, josef",7,2024-05-19 23:38:24.000000000
72,"feld, erschüttern, stärke, gipfel, panik",8,2024-05-19 23:38:24.000000000
73,"prinz, heinrich, angeklagter, oberlandesgericht, verteidiger",7,2024-05-19 23:38:24.000000000
74,"kitas, abitur, kita, fachkraft, schicht",3,2024-05-19 23:38:24.000000000
75,"china, taiwan, ferne, herstellung, übung",2,2024-05-19 23:38:24.000000000
76,"van, 000 euro, lisa, marie, budget",3,2024-05-19 23:38:24.000000000
77,"maier, verfassungsschutz, sächsisch, swr, ruhestand",4,2024-05-19 23:38:24.000000000
78,"maria, schlafen, akademie, malen, zimmer",4,2024-05-19 23:38:24.000000000
79,"bonn, halbfinal, partie, best, finale",6,2024-05-19 23:38:24.000000000
80,"regulierung, intelligenz, ai, ki, act",8,2024-05-19 23:38:24.000000000
81,"data, google, cloud, generativ ki, generativ",1,2024-05-19 23:38:24.000000000
82,"dürr, potenzial, reserve, fraktionschef, bundeswehr",2,2024-05-19 23:38:24.000000000
83,"finger, science, wissenschaftler, objekt, forscher",3,2024-05-19 23:38:24.000000000
85,"metropole, neubau, bestand, immobilie, vermieten",3,2024-05-19 23:38:24.000000000
86,"wm, schweiz, weltmeisterschaft, prag, schweizer",6,2024-05-19 23:38:24.000000000
87,"podcast, montag freitag, abonnieren, apps, neuwahl",2,2024-05-19 23:38:24.000000000
88,"verstoß, einbrechen, einführung, erwischen, schriftlich",2,2024-05-19 23:38:24.000000000
89,"schwachstelle, lücke, angreifer, center, data",5,2024-05-19 23:38:24.000000000
90,"tobias, lippe, seite stehen, nervös, applaus",2,2024-05-19 23:38:24.000000000
91,"nvidia, boom, aktie, analyst, chip",2,2024-05-19 23:38:24.000000000
92,"security, workshop, heise, konferenz, bande",3,2024-05-19 23:38:24.000000000
93,"passagier, sommer, geschäftsjahr, prozent million, wert prozent",3,2024-05-19 23:38:24.000000000
95,"cnn, bundesstaat, mehrere mensch, kleinstadt, texas",3,2024-05-19 23:38:24.000000000
96,"office, mail, konto, nordrhein westfalen, westfalen",1,2024-05-19 23:38:24.000000000
97,"einstieg, vorgang, vertraut, drängend, joint",1,2024-05-19 23:38:24.000000000
98,"aktivist, bewegen, klima, olaf scholz, olaf",1,2024-05-19 23:38:24.000000000
99,"tiergarten, innenminister, direktor, amtierend, to",3,2024-05-19 23:38:24.000000000
